Only in Index 1,Only in Index 2,In Both
Las1l,Lysmd4,Duox1
Lck,Macrod2os1,Dusp10
Ldha,Magee1,Dusp3
Ldlr,Magoh,Dynll2
Ldlrap1,Mamdc2,Dynlt3
Leprotl1,Mamstr,Ebf1
Lfng,Map10,Ebf2
Lgr6,Map2k6,Ebf3
Limd1,Map3k11,Eda
Lipt2,Map3k5,Eef1a1
Lmo1,Mapk13,Eef1b2
Lmod1,Masp1,Eepd1
Lmx1b,Mat2b,Efcab10
Lonrf3,Mb21d2,Efemp1
Loxl3,Mboat1,Efhd1
Lpar4,Mcm5,Efhd2
Lpar6,Mcts2,Efna5
Lrch1,Med12,Efr3a
Lrfn4,Med28,Efs
Lrrc1,Medag,Egfem1
Lrrc10b,Mettl18,Egflam
Lrrc73,Mex3b,Egfr
Lrrc75b,Mex3d,Egr1
Lrrtm3,Mfge8,Egr2
Lsr,Mfsd4b4,Egr3
Lss,Mgp,Eif1ax
Lst1,Micos13,Eif1b
Ltbp3,Mir124a-1hg,Eif5a
Ly6a,Mir17hg,Eif5a2
Ly6e,Mmp15,Elavl2
M6pr,Mndal,Elf1
Mafa,Mns1,Elfn1
Magix,Mob3b,Elmo1
Mak16,Mob4,Eln
Map11,Morrbid,Emx2os
Map1a,Mospd3,Enc1
Map1lc3a,Mov10l1,Endou
Map1lc3b,Mpzl2,Enpp2
Map3k15,Mrc1,Enpp6
Mapk3,Mrgbp,Entpd1
Mapk8ip2,Mroh3,Entpd2
Marcks,Mrpl32,Epas1
Marcksl1,Mrpl49,Epb41
Mast4,Mrpl50,Epb41l2
Mblac1,Mrpl51,Epb41l4a
Mdc1,Mrpl53,Epha3
Mdk,Mrpl57,Epha6
Med9os,Mrps18c,Ephb1
Mest,Ms4a6b,Ephb4
Metrn,Msh6,Eps8
Mettl7a3,Msi1,Epsti1
Mfap4,Msra,Erbb3
Mfsd3,Msx1,Erbb4
Mfsd4b1,Mtag2,Erg
Mgst1,Myadml2,Erich5
Mia,Myb,Esam
Mical1,Mybl1,Esrrg
Micall2,Mycl,Etl4
Midn,Myl4,Ets1
Mien1,Myl6b,Etv1
Milr1,Myo1b,Etv6
Minar1,Myo1f,Exoc3l2
Mindy1,Mypn,Eya2
Mmgt1,Mzt1,Eya4
Mmp2,Mzt2,Ezr
Mmut,N4bp3,F11r
Mpv17l2,Naca,F13a1
Mpzl3,Nanp,F2r
Mrap2,Nap1l2,F3
Mrgpre,Napsa,Fa2h
Mro,Nat8f3,Fads2
Mrpl10,Nat8f6,Fam107a
Mrpl35,Ndn,Fam107b
Mrpl36,Ndufa11,Fam111a
Mrps11,Ndufa13,Fam114a1
Mrps16,Ndufab1,Fam129a
Msl3,Ndufb10,Fam131b
Msmo1,Ndufb5,Fam163a
Msn,Ndufb9,Fam217b
Msrb1,Ndufc2,Fam83b
Mt3,Ndufs5,Fancl
Mtfp1,Ndufv1,Fap
Mtfr1,Nectin3,Fat1
Mtmr9,Nelfa,Fat3
Mtpn,Neo1,Fau
Mvk,Neu3,Fbln2
Mxra8,Nexn,Fbln5
Mybphl,Nfe2l3,Fbn1
Mylip,Nif3l1,Fbn2
Mylk3,Nipsnap3b,Fbxl14
Myorg,Nkpd1,Fbxl7
N4bp2os,Nlrc3,Fbxo32
Naa38,Nme2,Fbxo47
Naaa,Nme7,Fbxo5
Naga,Nol7,Fbxw10
Nanos2,Nos1ap,Fcgr2b
Nans,Nostrin,Fcgrt
Nap1l4,Nova1,Fcrla
Nbl1,Noxo1,Fcrls
Ncan,Npas2,Fen1
Ncaph,Npm1,Fes
Ncl,Npy2r,Fgd2
Ndc80,Nqo2,Fgd3
Nde1,Nr6a1os,Fgd5
Ndp,Nradd,Fgf1
Ndufa12,Nrg3os,Fgf13
Ndufa7,Ntng2,Fgf23
Ndufb2,Nudt10,Fgfrl1
Ndufb6,Nudt4,Fgl2
Ndufs6,Nup210l,Fhit
Ndufs7,Nupr1,Fhod3
Ndufs8,Nusap1,Fign
Ndufv3,Nwd2,Filip1l
Nelfcd,Nxpe2,Fli1
Neu4,Nxt2,Flna
Nfatc2,Olfml2b,Flrt2
Nfe2l1,Olig2,Flt1
Nfs1,Omd,Fmn1
Ngef,Oprk1,Fmnl3
Nicn1,Orc1,Fmod
Nkiras2,Osmr,Fn1
Nmral1,Ovol2,Fn3krp
Nol6,Oxsm,Fndc1
